gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Ncapd3 ,0.33540427,0.09925
Spdyb ,0.37036831,0.0991783
Kif20b ,0.46335545,0.0991417
Cbr3 ,0.5559239,0.0991258
Gria4 ,0.3933877,0.099085
0610009O20Rik ,0.35048189,0.0990042
Lrrc14 ,0.39140854,0.098815
Usp44 ,0.42977893,0.098815
Agbl2 ,0.31500499,0.0987975
Agxt ,0.45271372,0.0987325
Ppm1k ,0.67169017,0.098565
Ptgds ,0.33806655,0.09855
Dlg3 ,0.36016932,0.0985375
Olfr629 ,0.36027078,0.0985317
Kpnb1 ,0.41152189,0.0985258
Nrtn ,0.55784881,0.0985208
Olfr508 ,0.36176815,0.0984858
Zp3r ,0.37034989,0.0983817
Creb3l1 ,0.45822916,0.0982783
Fmo3 ,0.37524283,0.0982458
Slc25a28 ,0.41184559,0.0982258
Serpinb9g ,0.5179854,0.0981692
Cebpa ,0.41108361,0.0981267
Pla2g12b ,0.3332315,0.098125
Acsm3 ,0.35390732,0.0980717
Fut10 ,0.51178043,0.098065
Tef ,0.39760536,0.0980625
Eif2c4 ,0.4904453,0.0980608
Msx2 ,0.473314,0.0980475
Clic6 ,0.47116064,0.0980383
Lamc3 ,0.42551836,0.09799
Ccdc33 ,0.59301984,0.0979467
Olfr850 ,0.49550882,0.097945
2810004N23Rik ,0.5277127,0.0979075
Lilrb4 ,0.65765567,0.0978908
LOC330599 ,0.57707396,0.0978808
Capn5 ,0.73085326,0.0978633
Gdi1 ,0.50092481,0.09785
D12Ertd647e ,0.52677405,0.0977725
Mybpc3 ,0.49212155,0.0977133
Lad1 ,0.50557942,0.0976975
Olfr320 ,0.61239179,0.0976833
Ptger1 ,0.57024801,0.0976767
Mmp2 ,0.45669306,0.09766
Bco2 ,0.48356974,0.0975125
Stat1 ,0.80460282,0.09743
Lipi ,0.31417264,0.0974233
Zfp326 ,0.47743326,0.0974175
Rcor3 ,0.40301751,0.0974158
Akap10 ,0.48397812,0.0973942
Lep ,0.43072403,0.0973825
Olfr267 ,0.6804302,0.0973483
Kif17 ,0.46566454,0.0973433
Olfr1467 ,0.4828358,0.097265
Cbfb ,0.3615712,0.0972375
Plcd4 ,0.35813213,0.0972083
Olfr1299 ,0.63045024,0.09718
Klf3 ,0.57624924,0.09717
Fto ,0.51781728,0.0970283
Ndufv3 ,0.33822141,0.096955
Mobkl2b ,0.57605559,0.0969292
Adam33 ,0.52681249,0.0969108
BC053749 ,0.60528996,0.0968767
Cd209d ,0.43994715,0.09686
Aif1l ,0.60907279,0.096855
Nlk ,0.52606784,0.0968383
Oaz3 ,0.35008678,0.0967833
Chst7 ,0.53331929,0.0967458
Gpr50 ,0.64423712,0.0967325
Gldn ,0.47889095,0.0967308
Ms4a4d ,0.33939489,0.0967158
Sva ,0.46652188,0.0966608
Bud13 ,0.57723538,0.0965875
D10Wsu102e ,0.51830882,0.096555
Slc2a10 ,0.43702033,0.0964983
Gpaa1 ,0.43212276,0.0964725
Ctsc ,0.47345482,0.096435
Mettl7a2 ,0.3776986,0.0964317
Keg1 ,0.338251,0.0963808
Canx ,0.40155351,0.096375
Ms4a10 ,0.41394015,0.0963592
S100b ,0.52683682,0.0963525
Klre1 ,0.325609,0.0963267
Col25a1 ,0.45481498,0.0962983
Mcrs1 ,0.53250199,0.096275
Pkd1l2 ,0.41445853,0.0962617
Hoxc4 ,0.51900083,0.0962592
Adam29 ,0.35499727,0.0962358
Gabpb2 ,0.46466496,0.0962192
Pax9 ,0.51148062,0.096185
Xpc ,0.51030841,0.0961742
Clec1a ,0.63011785,0.0961642
2410137M14Rik ,0.51809364,0.0961408
Olfr642 ,0.7597064,0.0961317
Pou1f1 ,0.34680681,0.0960817
Pbp2 ,0.66437108,0.0960483
Hs2st1 ,0.36914638,0.0960083
Tas2r121 ,0.66843211,0.0959942
Spata2L ,0.48213165,0.0959675
Gpr123 ,0.38240974,0.095945
Zscan5b ,0.5206239,0.0959233
Smcp ,0.63052854,0.095885
1700034I23Rik ,0.575654,0.0958325
Olfr1353 ,0.33734558,0.0958092
Hsd17b2 ,0.48387635,0.095765
Sfxn2 ,0.51758747,0.0957533
Cryba1 ,0.3677346,0.0957458
Prcc ,0.42035208,0.09573
Psmc4 ,0.50844423,0.0956925
Elfn2 ,0.58403173,0.0956483
Nrip2 ,0.44738954,0.0956208
4931440L10Rik ,0.36469042,0.0956158
Yif1a ,0.36645324,0.0956117
Gfi1b ,0.58611454,0.0955575
Eme1 ,0.38571171,0.0955133
Pdzrn3 ,0.64044084,0.0954492
Osbpl1a ,0.41635987,0.0954308
Tas2r131 ,0.37518365,0.0953667
Maff ,0.48403768,0.0953175
Coq2 ,0.45628939,0.0953133
4930434E21Rik ,0.37705361,0.0953117
Cds1 ,0.54595275,0.0952433
4933428G20Rik ,0.34862578,0.0952092
Fgb ,0.7621659,0.0951492
2310011J03Rik ,0.4016049,0.0951258
Nsun4 ,0.5893286,0.0951075
Klf1 ,0.53317285,0.0950892
Ttc28 ,0.7222905,0.0950875
Gprc6a ,0.45449665,0.095055
Qrfpr ,0.48807731,0.095015
Slc38a1 ,0.68891735,0.0950075
Ccdc7 ,0.38299672,0.0949625
Abcg2 ,0.51088561,0.0949283
Gdf5 ,0.62228054,0.094925
Dpep1 ,0.44485416,0.0949083
4832428D23Rik ,0.3197952,0.09489
Abcb8 ,0.38144528,0.0948875
Morn5 ,0.54072089,0.0948308
Fam135b ,0.58031593,0.09483
1110007L15Rik ,0.3867147,0.09482
Stard3 ,0.33506446,0.0947867
A030004J04Rik ,0.49516352,0.09475
Pgm5 ,0.52519388,0.0946425
Ttbk1 ,0.37507174,0.0946092
Rspo1 ,0.49510002,0.0946042
Tcf12 ,0.4063224,0.0946
Fshr ,0.42446448,0.0945825
Lamp1 ,0.41507451,0.0945417
Kcnk18 ,0.59452831,0.0945258
Fyco1 ,0.47773811,0.09448
Ctsh ,0.647729,0.0944658
Olfr123 ,0.59076077,0.0943992
42585,0.41487603,0.0943025
Grhl2 ,0.38051352,0.0942217
Thbd ,0.60732751,0.0941492
la ,0.64836245,0.0941342
Psme2 ,0.53480606,0.0941142
Tbx3 ,0.47127978,0.0940958
Hs6st1 ,0.60966596,0.0940633
Tapbpl ,0.58448587,0.0940492
Csnk1g1 ,0.41646248,0.0940442
Npas3 ,0.54220451,0.0940358
Psmc3ip ,0.62492344,0.0940242
Atp6v0d2 ,0.47967813,0.093905
Zbtb5 ,0.38558046,0.09385
Rbm38 ,0.48644465,0.0938492
Obfc2a ,0.60607466,0.0938417
Rdm1 ,0.56633198,0.0937825
Krtap5-2 ,0.47821007,0.093765
1700008P20Rik ,0.62961256,0.0937125
LOC622757 ,0.67034698,0.0937033
Skap2 ,0.41582911,0.09367
Ntn1 ,0.47914219,0.0936325
Asb12 ,0.42896212,0.0935992
Sele ,0.52264987,0.0935875
Pcbp1 ,0.50691871,0.0935833
Fam83f ,0.63932319,0.093525
Gtf2a1 ,0.54575103,0.0935042
Timd2 ,0.35870162,0.0934767
Wdr3 ,0.37872813,0.0933858
Psme4 ,0.46351879,0.0933833
Hpd ,0.53146791,0.0933467
70048,0.61533146,0.0933167
4932418E24Rik ,0.3886562,0.0932667
Tub ,0.51661831,0.0932667
Zfp786 ,0.40669473,0.0932642
Alox12e ,0.40267474,0.0932417
Psg29 ,0.52992986,0.0932375
Cog3 ,0.44750395,0.0932325
Nkx2-5 ,0.65279649,0.0932225
Il12b ,0.5366916,0.09318
Nkg7 ,0.49539018,0.09317
BC106179 ,0.39934962,0.0931675
EG241041 ,0.42325787,0.09315
Sbp ,0.53848914,0.0930917
Ceacam14 ,0.452987,0.0930825
Trim34 ,0.73182315,0.0930517
Omd ,0.48090445,0.0929775
Phc1 ,0.44606542,0.0929775
Olfr1208 ,0.43679742,0.09294
Ptpn5 ,0.43202475,0.09293
Tmcc2 ,0.399754,0.0928425
4930483J18Rik ,0.51186919,0.0928258
V1re9 ,0.33247817,0.092775
Etv4 ,0.4409964,0.0927267
Ostn ,0.35716761,0.0927092
Cstf3 ,0.59871738,0.092695
Slc12a1 ,0.33869615,0.09266
Scnn1b ,0.60546177,0.092625
P2rx2 ,0.42953295,0.0925342
Gpr135 ,0.53732136,0.0924625
Defb40 ,0.41107326,0.09245
Serpinb9e ,0.47278993,0.0924325
Folr4 ,0.42700528,0.092405
69741,0.41399092,0.0923442
Asl ,0.42716968,0.0923383
Nap1l4 ,0.37375953,0.0923333
Cand2 ,0.55168279,0.0923317
Ints10 ,0.52821061,0.0922325
1700016G05Rik ,0.41415001,0.0922175
Slc43a3 ,0.62534377,0.0921967
Cyp11b2 ,0.50022742,0.0921892
Nrn1 ,0.62205813,0.092155
Hoxa4 ,0.46829574,0.0920675
Slc26a10 ,0.53148312,0.0919917
Mtap4 ,0.74917268,0.0919542
Usp48 ,0.58560397,0.09195
Fam125b ,0.38959657,0.0919475
68360,0.54415098,0.091935
H2-M10.6 ,0.37805638,0.0919333
Cml4 ,0.44824724,0.09183
Pth2r ,0.33187159,0.0918275
Barx2 ,0.58739864,0.0918183
2210407C18Rik ,0.43117884,0.0917592
Agtr1a ,0.37686712,0.0917
Lrriq4 ,0.57252139,0.091655
Ip6k3 ,0.57368241,0.0916525
Tnp2 ,0.44249636,0.0916525
Itln1 ,0.39568888,0.0916042
F830045P16Rik ,0.39025284,0.0916033
Rps19 ,0.67138823,0.0915617
Syf2 ,0.57216837,0.0915083
Ptges2 ,0.46152885,0.0914833
A730017C20Rik ,0.61282924,0.0913958
Edn2 ,0.49125696,0.0913933
Fads3 ,0.35283915,0.091355
Dppa2 ,0.46434071,0.0913517
Ube4a ,0.51930199,0.0913283
T2 ,0.52508482,0.0913033
Nmu ,0.45614108,0.0912875
Zap70 ,0.43646463,0.0912833
Pttg1 ,0.38564165,0.0912775
Mbp ,0.68759419,0.0912408
AI854703 ,0.54462472,0.0912358
Olfr893 ,0.6237149,0.091165
Fgf22 ,0.59955154,0.0911625
Arpc3 ,0.40761443,0.0911325
Olfr1 ,0.65613717,0.0910883
3632451O06Rik ,0.4569294,0.0910358
Galnt12 ,0.37808571,0.0910125
Ryr3 ,0.55771311,0.0909875
Atf7ip ,0.49001649,0.0909333
Uncx ,0.56416598,0.0909192
Uap1 ,0.57568779,0.0908717
Olfr345 ,0.55731104,0.0908125
BC067068 ,0.51489854,0.0907717
Npl ,0.63295752,0.0907408
Atp6v0a4 ,0.48133642,0.09071
Acpp ,0.44736373,0.0906892
69553,0.6466054,0.0906767
Ticam2 ,0.52304028,0.0906592
Shkbp1 ,0.4455308,0.090615
Gpsm3 ,0.60872394,0.0906083
Cpne5 ,0.39989302,0.090575
Aqp6 ,0.61258446,0.0905283
Kat2b ,0.5073972,0.0904783
Enox2 ,0.51294611,0.0904775
Gas1 ,0.62835402,0.0903867
Nek11 ,0.70746792,0.0903842
Tom1l2 ,0.5877528,0.0903342
Fbxl22 ,0.55654899,0.09022
Ebf2 ,0.40778838,0.0901875
Dolk ,0.64887007,0.0901258
A530021J07Rik ,0.46507303,0.0901167
Vax2 ,0.58760285,0.0900517
Cpz ,0.52937826,0.0900475
Trem2 ,0.50835539,0.0900258
Zic2 ,0.61765518,0.09002
Tcfe3 ,0.55205912,0.0899742
Adh4 ,0.5254684,0.08996
Cyp24a1 ,0.54455574,0.0899517
4921521F21Rik ,0.35963127,0.0899117
Slco6c1 ,0.36654593,0.0898558
Fxn ,0.52141864,0.0898517
Dnajc22 ,0.56924027,0.0898358
Thra ,0.39178486,0.08983
Itga11 ,0.43605702,0.089815
Ilk ,0.43532705,0.0898117
Sec22c ,0.54916566,0.0897858
Rhox6 ,0.5501998,0.0897508
Bard1 ,0.52180371,0.0897233
Ccnf ,0.55685651,0.0897108
Epyc ,0.37691714,0.0897083
Zfp287 ,0.37771197,0.08968
Pabpc5 ,0.53606836,0.0896308
Myef2 ,0.57263854,0.0896258
Rnf41 ,0.54686436,0.0896108
Ctrb1 ,0.83112101,0.089585
4921523A10Rik ,0.45346343,0.0895417
Cdca7 ,0.37447214,0.0895125
Plin ,0.55784237,0.0894958
Olfr883 ,0.46826805,0.0894942
Igsf5 ,0.48803906,0.0894933
Esr1 ,0.4655585,0.0894625
Reck ,0.41923756,0.0894567
Zfp509 ,0.45297208,0.0894308
Vash2 ,0.56982023,0.0894275
Ubl3 ,0.57456734,0.0894167
Shox2 ,0.45575778,0.0893992
Cst11 ,0.47245156,0.0893975
Itgb2l ,0.45832249,0.0893567
Gbp3 ,0.82858104,0.0893317
Serpinb6b ,0.4767562,0.0893258
Ptpn20 ,0.43429669,0.0892525
Sh3gl3 ,0.5041223,0.0892517
56274,0.68310636,0.0892267
Rln1 ,0.64523375,0.0892192
Otog ,0.42759723,0.0892142
Gpr162 ,0.51134804,0.0892008
Diap3 ,0.42940088,0.0891942
Qsox2 ,0.56668698,0.08903
8030411F24Rik ,0.49320125,0.0890067
Gpn1 ,0.44636272,0.0889992
Zdhhc14 ,0.49401363,0.08896
Olfr355 ,0.58491315,0.0889558
Cdc45l ,0.45045791,0.0889117
Dtna ,0.65239133,0.0888992
Gtsf1l ,0.52322129,0.0888975
Olig1 ,0.53880975,0.0888725
Rab11b ,0.60690035,0.08886
Hgfac ,0.47838534,0.0887525
Prdm16 ,0.44586963,0.0887408
Bbox1 ,0.48252241,0.0887075
Olfr346 ,0.38872197,0.08858
Nucb1 ,0.54356835,0.088555
Olfr114 ,0.42446012,0.0884917
Fgfrl1 ,0.44984607,0.08847
Hivep2 ,0.69146911,0.0884375
Cdc25b ,0.74846888,0.0884308
Fam98b ,0.40752305,0.0884058
Mrps35 ,0.61949047,0.0883875
V1rh4 ,0.38485095,0.0883858
Bpil2 ,0.49075735,0.0883783
Itpka ,0.42447757,0.0883525
AF251705 ,0.52659987,0.0883092
Reep2 ,0.50620876,0.0883017
Spata17 ,0.44345362,0.0882983
Gzmb ,0.41550526,0.0882967
Col6a2 ,0.57346618,0.088295
Ramp3 ,0.78389919,0.0882167
BC026374 ,0.35692432,0.0882125
Foxe3 ,0.67020652,0.0881592
Car2 ,0.52507452,0.0881125
Stard4 ,0.60409912,0.0880842
Tlr9 ,0.58209517,0.0880825
Trim29 ,0.47661219,0.08807
Uxs1 ,0.43640951,0.0880183
Fbxw16 ,0.38776241,0.0879375
Cdc42ep2 ,0.72718001,0.087935
Sval1 ,0.41774773,0.087925
Lum ,0.63604007,0.0878808
Gm1631 ,0.50162394,0.08784
Mt1 ,0.44639105,0.0877583
Aars ,0.49651073,0.087725
Edc3 ,0.44942123,0.0877058
Morn3 ,0.61945208,0.0876767
Spata9 ,0.44860941,0.0876158
Car12 ,0.41414841,0.0876033
Fbln7 ,0.60033833,0.0875725
Col2a1 ,0.55830482,0.0875675
Gpr56 ,0.59587188,0.0875583
Igfbp2 ,0.60019968,0.0875542
Olfr705 ,0.47051734,0.0875167
Rhag ,0.44225132,0.08751
Aste1 ,0.45458795,0.0874608
Il12rb1 ,0.46738212,0.087435
Olfr1262 ,0.584743,0.0874258
Ptplad2 ,0.37776563,0.0874025
Ppm1g ,0.49429476,0.0873733
Rprm ,0.59011655,0.0873533
Pex5 ,0.62402202,0.0873425
Armcx1 ,0.54763101,0.0873258
Pdcd10 ,0.62625681,0.0873108
Cobll1 ,0.58118723,0.087175
Pura ,0.66582774,0.0871358
Gcc2 ,0.44613121,0.0871342
Sycn ,0.82454211,0.0870883
Olfr1356 ,0.70009835,0.0870867
Olfr12 ,0.75519761,0.0870858
Cenpo ,0.42042699,0.0870625
Cdk8 ,0.41448945,0.0870583
Ocm ,0.66203865,0.087055
Es1 ,0.39975939,0.0870317
Olfr1466 ,0.44814248,0.0869767
Ccdc88c ,0.71058577,0.0869233
Fpgs ,0.46167568,0.0869075
Map1lc3a ,0.43075174,0.0869017
Sh2d1a ,0.50634574,0.0868967
Entpd7 ,0.54031637,0.0868542
Eno1 ,0.62838477,0.0868233
Pacsin3 ,0.57554321,0.0868208
Map2k6 ,0.45228665,0.0868183
Amz1 ,0.54560256,0.0867942
Ankrd36 ,0.4969988,0.0867625
2310057N15Rik ,0.46089881,0.0867167
Il20ra ,0.50758007,0.0866825
Tagln3 ,0.55125329,0.0866533
Olfr116 ,0.58760887,0.0866233
Lpp ,0.84586735,0.086615
Cnga2 ,0.53190747,0.0865933
Nbr1 ,0.46283964,0.08655
C1qtnf2 ,0.75144549,0.086495
Bag1 ,0.42455332,0.0864608
Fance ,0.40829154,0.0863475
Oplah ,0.4122589,0.0863067
Lpar1 ,0.55645419,0.0862992
Yod1 ,0.5706365,0.0862992
Olfr402 ,0.67333561,0.0861775
Topbp1 ,0.56165037,0.0861775
Hspb7 ,0.63917634,0.08615
Rnf114 ,0.48887315,0.0860833
Rras2 ,0.60591713,0.0860658
Rgl1 ,0.64024818,0.0860533
Il23r ,0.41174002,0.0860058
Nr1h4 ,0.41849802,0.0859808
Wnt8a ,0.53087061,0.0859042
Fasl ,0.57159755,0.08589
Myo1h ,0.45416442,0.085885
Nepn ,0.41261353,0.0858317
Rps7 ,0.73219511,0.0858258
Kifc1 ,0.62829567,0.085785
Zfp185 ,0.41468169,0.085775
8030475D13Rik ,0.61771083,0.0857733
Olfr1450 ,0.44766743,0.0857533
Gorasp1 ,0.45409695,0.0856967
Golga5 ,0.50264037,0.0856825
5031414D18Rik ,0.47824557,0.0855858
Lhx8 ,0.46145296,0.085575
Snrnp48 ,0.4804232,0.0855183
Umod ,0.37504347,0.0855025
Ntng1 ,0.44678027,0.0855017
Rdh10 ,0.47174452,0.0854967
Grin2d ,0.49938964,0.0854833
Tcp11l1 ,0.57079416,0.0854067
Rd3 ,0.4812552,0.0853992
C79407 ,0.62355172,0.0853733
Gnrh1 ,0.49818677,0.0852833
Lgr5 ,0.37961993,0.0852725
Suv39h1 ,0.53600875,0.0852575
Slc22a21 ,0.5397185,0.0852433
Cbln1 ,0.37949988,0.0852308
2810433K01Rik ,0.44501975,0.0852258
Arfgap3 ,0.47528928,0.085225
Igfbp6 ,0.62783267,0.0851758
Bhlhe23 ,0.68364485,0.0851533
Arhgef4 ,0.46718789,0.0850933
Pon1 ,0.44450556,0.0850842
Rnase1 ,0.81878187,0.0850283
Serpinb5 ,0.52737243,0.0850275
Gng11 ,0.54343556,0.0849917
Tmem179 ,0.63230819,0.0849808
Rgs8 ,0.39624675,0.08494
Igbp1b ,0.70893546,0.0849233
4930474N05Rik ,0.4704489,0.084875
Ankrd33b ,0.67362499,0.0848275
1810023F06Rik ,0.4490335,0.0848008
Nfe2l1 ,0.61524281,0.0848
Vsig4 ,0.48041823,0.0847767
Tgtp ,0.73628255,0.0847558
Aldh1a7 ,0.40297052,0.0847367
Duoxa1 ,0.59340192,0.0846933
Csf1 ,0.61393933,0.08469
Caskin1 ,0.57352285,0.0846892
Dtl ,0.65354281,0.0846725
Tlx1 ,0.6600749,0.0846475
Slc4a9 ,0.5501915,0.0845925
Gli3 ,0.64368945,0.0845533
Adam23 ,0.49284397,0.0845458
Kcnu1 ,0.38978418,0.0845292
Calr ,0.49234509,0.0845
Slitrk4 ,0.501414,0.084425
4922502D21Rik ,0.53184147,0.0843208
Tdo2 ,0.42478779,0.0842767
Tslp ,0.44616639,0.0842517
Moap1 ,0.53283921,0.0841417
Olfr1045 ,0.46245209,0.0841375
Ipo5 ,0.5901205,0.0841075
Zfp353 ,0.5293792,0.0840558
Gata1 ,0.4036837,0.0840325
Ncf1 ,0.49658526,0.0840275
Fam63a ,0.52518619,0.0839542
9030617O03Rik ,0.41943862,0.0839292
Eefsec ,0.42755954,0.083925
Garnl3 ,0.41290323,0.0838725
Tmprss11e ,0.48787968,0.0838483
Dixdc1 ,0.47184545,0.0837967
Myog ,0.71564197,0.0837942
Rilpl2 ,0.79141842,0.0837875
Esco2 ,0.61015894,0.0837842
Samd7 ,0.58180564,0.0837658
Npvf ,0.41919355,0.0837533
Clcnkb ,0.61805335,0.083735
Aspa ,0.52543006,0.083715
Rbm18 ,0.45801775,0.0836667
Rpn1 ,0.42716894,0.0836
Slc25a26 ,0.44182063,0.0835942
Kcnj15 ,0.57559235,0.0835875
Clrn1 ,0.44253532,0.0835558
Alx1 ,0.54534588,0.0835158
Uckl1 ,0.4316998,0.0835067
Ifna9 ,0.56405626,0.0834592
Sfi1 ,0.6283685,0.0834375
2400003C14Rik ,0.51778445,0.0834225
Car7 ,0.63709013,0.0834058
Stx2 ,0.52295512,0.0833992
Sez6 ,0.49702615,0.0833342
Gbx1 ,0.68193477,0.0833333
Btg3 ,0.79510115,0.083325
Myo5a ,0.48348972,0.0832617
Igsf6 ,0.6304095,0.0832092
Aadac ,0.57796601,0.0831533
Ubd ,0.59305056,0.0831125
Osr1 ,0.65665384,0.0830908
Gimap3 ,0.48093072,0.0830842
Irf4 ,0.52373615,0.082995
Vmn2r89 ,0.41317052,0.0829933
Olfr702 ,0.44823435,0.08299
V1rf3 ,0.54323844,0.0829808
Ltk ,0.41868357,0.0829775
Zfp661 ,0.48257909,0.082955
Ttpa ,0.46807302,0.0829542
Batf3 ,0.53732401,0.0829467
BC048671 ,0.5508528,0.0829008
9330182L06Rik ,0.56055903,0.08289
Ano2 ,0.52244751,0.0828842
S100a6 ,0.77162724,0.0828575
Klrk1 ,0.39176243,0.0828125
Ptprcap ,0.441365,0.0827883
Nr6a1 ,0.54890944,0.0827042
Alox5 ,0.46195289,0.0826642
Nvl ,0.47448677,0.0826575
Psmd9 ,0.45514483,0.08265
Ccl1 ,0.50402647,0.0826367
Inhbc ,0.45869921,0.0826058
Foxl1 ,0.72408875,0.0825958
Trim59 ,0.69674259,0.0825775
Gcat ,0.42914145,0.0825742
C230021P08Rik ,0.50269082,0.0825733
Blk ,0.57043062,0.0824933
Ttc9b ,0.50289592,0.0824458
Ikzf2 ,0.53548068,0.0824417
5430407P10Rik ,0.57294472,0.0824175
Sep.05,0.43232611,0.0823933
St3gal2 ,0.44248297,0.0823708
Dkk4 ,0.52373021,0.0823492
Dmgdh ,0.47101554,0.0823192
Tal1 ,0.59304978,0.0823075
Csnk2a1 ,0.42884992,0.082265
Lpar4 ,0.49365102,0.0822383
Cd302 ,0.45748921,0.0822325
Atp6v1b1 ,0.4890721,0.0822317
Spc24 ,0.65563827,0.08223
Cd163l1 ,0.48955821,0.0822042
Neurod6 ,0.45809912,0.0821958
Syngr2 ,0.60247856,0.0821267
Fn1 ,0.5736757,0.08212
Ankrd57 ,0.65013217,0.0821133
Olfr589 ,0.55162674,0.0820067
Adcy10 ,0.39696882,0.081975
Fndc3a ,0.55719155,0.0819667
Ccdc101 ,0.56751824,0.0819133
Adamts5 ,0.46484225,0.081855
Foxred1 ,0.53919616,0.0816808
Fxyd5 ,0.66635078,0.0814783
Usp4 ,0.54538428,0.0814667
Olfr354 ,0.65257521,0.08138
Ckmt1 ,0.47019503,0.0813792
Pafah2 ,0.47476859,0.08137
Ms4a7 ,0.64015078,0.0813475
Mgl1 ,0.43793724,0.0813358
Aspscr1 ,0.42791184,0.0813075
Nxph3 ,0.71006699,0.0812558
Rest ,0.65412635,0.0812458
Olfr143 ,0.48363436,0.0812325
Zfp771 ,0.64080456,0.0812142
Snrnp200 ,0.46337283,0.0811825
Col1a2 ,0.60711605,0.0811675
Wbscr17 ,0.54407605,0.0811658
Dbx2 ,0.71663835,0.0811508
Galk1 ,0.48630178,0.0810875
Apcdd1 ,0.6968596,0.0810517
Rrs1 ,0.4709618,0.08103
C1qtnf1 ,0.58544247,0.0810017
Alkbh5 ,0.61889429,0.0809917
Olfr1252 ,0.62074157,0.0809783
Bcl2l2 ,0.4464334,0.0809567
B3gat1 ,0.57378235,0.0808117
Drd2 ,0.43173683,0.0807967
Phf23 ,0.42370002,0.0807942
Btbd11 ,0.56744673,0.0807558
Bmp10 ,0.68516025,0.0806775
Snx9 ,0.60663657,0.0806625
Vnn3 ,0.42140252,0.0806425
Shh ,0.53148506,0.0806367
Grk1 ,0.53987005,0.0806325
AB041550 ,0.57902556,0.0806017
3110035E14Rik ,0.54294657,0.080575
Slc7a14 ,0.56010477,0.0805417
Fermt1 ,0.53550673,0.0805158
Spata21 ,0.5066688,0.0805133
Mras ,0.72412197,0.0804992
Atp5sl ,0.46994438,0.0804492
Osbpl3 ,0.80632532,0.0803275
Spo11 ,0.44338869,0.0802958
Oit3 ,0.62200143,0.080225
Slc45a3 ,0.44665861,0.0801925
Nacc1 ,0.71940279,0.080105
Fgfr1op ,0.59435717,0.0799833
Msh6 ,0.40284154,0.0799767
Cd96 ,0.44224709,0.0799483
Cebpe ,0.64500336,0.0799167
Olfr1248 ,0.49760197,0.079905
V1rc13 ,0.51144082,0.0798617
Bhlhe40 ,0.61631251,0.0798508
Cercam ,0.4505745,0.0798225
Prkcq ,0.43264976,0.0797942
Ascl3 ,0.69689345,0.07975
Ctag2 ,0.47501084,0.0797475
Krt72 ,0.45570501,0.0797325
Nap1l3 ,0.57749831,0.0796575
Ulk4 ,0.48131262,0.0796408
Slc6a5 ,0.60397396,0.0796308
2610028H24Rik ,0.51363803,0.0796008
Dnaja1 ,0.73385649,0.0795917
Prox2 ,0.47166173,0.079565
Cebpb ,0.7278468,0.079535
Hscb ,0.43744132,0.0795267
Cd209a ,0.55318508,0.0794867
Gen1 ,0.57124222,0.0794533
AY358078 ,0.64253667,0.0794517
Slco1a4 ,0.42786697,0.0794517
Irx2 ,0.63060708,0.0794383
Tmod3 ,0.47315629,0.0794275
Ccdc64b ,0.59046584,0.0794167
Polm ,0.53530893,0.0793475
Polr1d ,0.53004445,0.0793325
Pex26 ,0.530687,0.0792917
Trpm4 ,0.58033445,0.0792783
Ercc1 ,0.5440293,0.079225
Slc1a7 ,0.55872003,0.0792225
Fkrp ,0.58860372,0.0792217
Ctdsp1 ,0.60477393,0.07921
Olfr157 ,0.61016641,0.0791925
B4galnt3 ,0.47384441,0.0791575
Prss12 ,0.60849871,0.0791425
Dsg4 ,0.4338582,0.0791417
Wdr69 ,0.49835968,0.079135
Sult1a1 ,0.53085877,0.0791167
Rp1l1 ,0.60379474,0.0790933
Trf ,0.46634298,0.0790733
Creld1 ,0.40417135,0.0790492
Errfi1 ,0.58096775,0.0789583
Gna15 ,0.50129582,0.0789433
Tob1 ,0.71820283,0.078875
95105,0.64905812,0.0788375
Dnajc5 ,0.58412134,0.0787667
Srms ,0.60461365,0.0787608
Olfr651 ,0.60570093,0.078745
Msr1 ,0.50409537,0.0787275
4632415K11Rik ,0.44685362,0.078635
Spag4 ,0.48147479,0.0786225
1700003M02Rik ,0.44072814,0.0785975
Six6 ,0.62866703,0.0785425
Olfr1023 ,0.46372372,0.0785167
Ercc6l ,0.74908491,0.0783992
Adcy3 ,0.58643288,0.0783133
Fzd2 ,0.5094931,0.0782975
Ern2 ,0.58051528,0.0782833
Cxcl1 ,0.77955616,0.0782675
Siah1b ,0.68143417,0.0782417
Etv5 ,0.72764717,0.0782175
Smchd1 ,0.59052966,0.078195
Atp8b3 ,0.45682481,0.0781883
Glipr1l2 ,0.4615627,0.0781617
Hoxa11 ,0.63736814,0.0781075
Dpm1 ,0.56025137,0.0780683
Xab2 ,0.55169027,0.0780658
Reps2 ,0.563699,0.0780375
Olfr251 ,0.68021969,0.0780258
A530023O14Rik ,0.54079454,0.0780158
Atp4b ,0.58638387,0.0779933
Sh3bp5l ,0.48328815,0.0779492
Hpgd ,0.53206518,0.0779175
Nfam1 ,0.45017295,0.0779058
Neto1 ,0.5071308,0.0778883
Gpr20 ,0.62193286,0.0778675
Kcnv1 ,0.6330715,0.0778542
4930578C19Rik ,0.50571981,0.0778533
Traf2 ,0.61088484,0.0778333
Eda2r ,0.71710694,0.0776917
Ryr1 ,0.49734313,0.0776633
Gpr172b ,0.6281628,0.07765
Mkrn3 ,0.69243485,0.0776333
